Date,Description,Card Member,Account #,Amount,Additional Information
12/01/2025,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,15.38,
12/05/2025,PAYMENT RECEIVED - THANK YOU,SANTOSH KOLAGATI,-51004,-1321.11,
12/05/2025,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,50.74,
12/06/2025,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,100.80,
12/06/2025,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,28.55,
12/07/2025,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,9.40,
12/08/2025,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,120.22,
12/10/2025,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,38.84,
12/10/2025,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,67.56,
12/10/2025,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,19.45,
12/11/2025,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,33.90,
12/11/2025,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,82.35,
12/12/2025,APPLE.COM/BILL ITUNES.COM ON,SANTOSH KOLAGATI,-51004,8.76,
12/13/2025,NETFLIX.COM 866-579-7172,SANTOSH KOLAGATI,-51004,20.99,
12/15/2025,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,15.63,
12/16/2025,SPOTIFY P0A4B TORONTO ON,SANTOSH KOLAGATI,-51004,11.99,
12/17/2025,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,7.91,
12/17/2025,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,9.67,
12/19/2025,CINEPLEX #8901 TORONTO ON,SANTOSH KOLAGATI,-51004,26.77,
12/20/2025,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,9.99,
12/22/2025,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,148.67,
12/24/2025,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,17.18,
12/26/2025,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,54.32,
12/28/2025,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,43.63,
12/28/2025,CINEPLEX #8901 TORONTO ON,SANTOSH KOLAGATI,-51004,41.55,
12/28/2025,LCBO/RAO #219 TORONTO ON,SANTOSH KOLAGATI,-51004,43.98,
12/28/2025,NETFLIX.COM 866-579-7172,SANTOSH KOLAGATI,-51004,20.99,
12/28/2025,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,45.27,
12/30/2025,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,64.26,
12/30/2025,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,82.05,
12/31/2025,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,67.54,
12/31/2025,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,12.77,
01/01/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,57.98,
01/01/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,66.68,
01/01/2026,PAI NORTHERN THAI TORONTO ON,SANTOSH KOLAGATI,-51004,60.22,
01/02/2026,APPLE.COM/BILL ITUNES.COM ON,SANTOSH KOLAGATI,-51004,11.73,
01/03/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,65.56,
01/03/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,11.22,
01/04/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,109.31,
01/05/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,187.19,
01/05/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,8.63,
01/07/2026,PAYMENT RECEIVED - THANK YOU,SANTOSH KOLAGATI,-51004,-1639.65,
01/08/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,66.62,
01/11/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,26.39,
01/11/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,48.49,
01/14/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,28.62,
01/14/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,105.64,
01/14/2026,NETFLIX.COM 866-579-7172,SANTOSH KOLAGATI,-51004,20.99,
01/15/2026,CINEPLEX #8901 TORONTO ON,SANTOSH KOLAGATI,-51004,26.20,
01/16/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,171.75,
01/16/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,34.28,
01/18/2026,CINEPLEX #8901 TORONTO ON,SANTOSH KOLAGATI,-51004,21.04,
01/19/2026,APPLE.COM/BILL ITUNES.COM ON,SANTOSH KOLAGATI,-51004,4.54,
01/19/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,39.89,
01/19/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,13.33,
01/20/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,9.93,
01/20/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,31.30,
01/22/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,12.41,
01/23/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,62.79,
01/25/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,22.22,
01/26/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,20.00,
01/27/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,69.23,
01/28/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,162.69,
01/30/2026,SHOPPERS DRUG MART #1290 TORONTO ON,SANTOSH KOLAGATI,-51004,26.77,
01/30/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,36.01,
02/02/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,170.10,
02/04/2026,PAI NORTHERN THAI TORONTO ON,SANTOSH KOLAGATI,-51004,74.31,
02/05/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,30.55,
02/06/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,126.11,
02/06/2026,PAYMENT RECEIVED - THANK YOU,SANTOSH KOLAGATI,-51004,-1766.90,
02/07/2026,APPLE.COM/BILL ITUNES.COM ON,SANTOSH KOLAGATI,-51004,3.45,
02/07/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,76.61,
02/07/2026,GOODLIFE FITNESS TORONTO ON,SANTOSH KOLAGATI,-51004,56.49,
02/07/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,33.72,
02/07/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,50.67,
02/09/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,6.83,
02/09/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,47.91,
02/11/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,9.26,
02/12/2026,DOORDASH*ORDER TORONTO ON,SANTOSH KOLAGATI,-51004,35.35,
02/13/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,24.32,
02/14/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,36.83,
02/15/2026,BAR RAVAL TORONTO ON,SANTOSH KOLAGATI,-51004,61.87,
02/15/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,12.93,
02/16/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,115.25,
02/16/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,126.54,
02/17/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,181.96,
02/18/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,26.04,
02/20/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,140.87,
02/21/2026,CINEPLEX #8901 TORONTO ON,SANTOSH KOLAGATI,-51004,38.73,
02/21/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,90.36,
02/21/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,6.75,
02/22/2026,SHOPPERS DRUG MART #1290 TORONTO ON,SANTOSH KOLAGATI,-51004,38.65,
02/23/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,56.50,
02/25/2026,SHOPPERS DRUG MART #1290 TORONTO ON,SANTOSH KOLAGATI,-51004,53.59,
02/26/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,13.59,
02/28/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,7.69,
02/28/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,13.07,
03/02/2026,NO FRILLS TORONTO ON,SANTOSH KOLAGATI,-51004,72.03,
03/04/2026,PAYMENT RECEIVED - THANK YOU,SANTOSH KOLAGATI,-51004,-1593.26,
03/04/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,7.52,
03/05/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,8.43,
03/07/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,35.88,
03/08/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,105.82,
03/08/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,9.05,
03/08/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,9.88,
03/08/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,49.82,
03/09/2026,AMAZON.CA*MK4TR AMAZON.CA ON,SANTOSH KOLAGATI,-51004,86.15,
03/09/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,13.11,
03/09/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,53.36,
03/11/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,103.60,
03/11/2026,NETFLIX.COM 866-579-7172,SANTOSH KOLAGATI,-51004,20.99,
03/11/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,58.42,
03/13/2026,UBER *TRIP TORONTO ON,SANTOSH KOLAGATI,-51004,33.94,
03/13/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,40.91,
03/16/2026,CINEPLEX #8901 TORONTO ON,SANTOSH KOLAGATI,-51004,44.57,
03/17/2026,NETFLIX.COM 866-579-7172,SANTOSH KOLAGATI,-51004,20.99,
03/18/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,118.43,
03/19/2026,STARBUCKS #4471 TORONTO ON,SANTOSH KOLAGATI,-51004,13.07,
03/20/2026,GOODLIFE FITNESS TORONTO ON,SANTOSH KOLAGATI,-51004,56.49,
03/23/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,139.31,
03/23/2026,PAI NORTHERN THAI TORONTO ON,SANTOSH KOLAGATI,-51004,109.85,
03/24/2026,PAI NORTHERN THAI TORONTO ON,SANTOSH KOLAGATI,-51004,67.62,
03/24/2026,UBER EATS TORONTO ON,SANTOSH KOLAGATI,-51004,55.41,
03/27/2026,LOBLAWS #1032 TORONTO ON,SANTOSH KOLAGATI,-51004,189.33,
03/30/2026,SPOTIFY P0A4B TORONTO ON,SANTOSH KOLAGATI,-51004,11.99,
